,DateTime,Seq,Temp,'C,Humidity,%
332,2015-6-14,20,14.0,'C,77.0,%
333,2015-6-14,21,13.5,'C,79.5,%
334,2015-6-14,22,13.0,'C,82.0,%
335,2015-6-14,23,12.0,'C,88.0,%
336,2015-6-15,0,12.5,'C,85.0,%
337,2015-6-15,1,13.0,'C,79.5,%
338,2015-6-15,2,12.0,'C,82.0,%
339,2015-6-15,3,12.0,'C,82.0,%
340,2015-6-15,4,12.0,'C,82.0,%
341,2015-6-15,5,12.0,'C,77.0,%
342,2015-6-15,6,12.0,'C,77.0,%
343,2015-6-15,7,13.0,'C,67.0,%
344,2015-6-15,8,13.5,'C,65.0,%
345,2015-6-15,9,14.5,'C,61.0,%
346,2015-6-15,10,15.5,'C,57.0,%
347,2015-6-15,11,18.0,'C,45.0,%
348,2015-6-15,12,17.5,'C,43.5,%
349,2015-6-15,13,18.0,'C,43.5,%
350,2015-6-15,14,17.0,'C,52.0,%
351,2015-6-15,15,17.0,'C,52.0,%
352,2015-6-15,16,17.0,'C,53.5,%
353,2015-6-15,17,16.0,'C,55.0,%
354,2015-6-15,18,15.5,'C,57.0,%
355,2015-6-15,19,14.5,'C,61.0,%
356,2015-6-15,20,13.5,'C,63.0,%
357,2015-6-15,21,13.0,'C,63.0,%
358,2015-6-15,22,12.0,'C,67.0,%
359,2015-6-15,23,11.0,'C,71.0,%
360,2015-6-16,0,12.0,'C,67.0,%
361,2015-6-16,1,11.0,'C,71.0,%
362,2015-6-16,2,11.0,'C,76.0,%
363,2015-6-16,3,11.0,'C,71.0,%
364,2015-6-16,4,11.0,'C,76.0,%
365,2015-6-16,5,11.0,'C,76.0,%
366,2015-6-16,6,13.0,'C,69.5,%
367,2015-6-16,7,13.5,'C,54.5,%
368,2015-6-16,8,16.0,'C,46.5,%
369,2015-6-16,9,17.0,'C,52.0,%
370,2015-6-16,10,18.5,'C,49.0,%
371,2015-6-16,11,20.0,'C,44.5,%
372,2015-6-16,12,22.0,'C,39.0,%
373,2015-6-16,13,21.5,'C,42.0,%
374,2015-6-16,14,22.0,'C,42.0,%
375,2015-6-16,15,22.0,'C,43.0,%
376,2015-6-16,16,22.5,'C,42.0,%
377,2015-6-16,17,22.5,'C,47.0,%
378,2015-6-16,18,21.0,'C,54.5,%
379,2015-6-16,19,20.5,'C,60.0,%
380,2015-6-16,20,19.5,'C,66.0,%
381,2015-6-16,21,18.0,'C,68.0,%
382,2015-6-16,22,17.5,'C,70.0,%
383,2015-6-16,23,18.0,'C,68.0,%
384,2015-6-17,0,17.5,'C,66.0,%
385,2015-6-17,1,16.5,'C,68.0,%
386,2015-6-17,2,15.0,'C,69.5,%
387,2015-6-17,3,14.5,'C,69.5,%
388,2015-6-17,4,13.5,'C,74.5,%
389,2015-6-17,5,13.5,'C,79.5,%
390,2015-6-17,6,14.5,'C,74.5,%
391,2015-6-17,7,16.5,'C,68.0,%
392,2015-6-17,8,17.5,'C,68.0,%
393,2015-6-17,9,18.5,'C,68.0,%
394,2015-6-17,10,20.0,'C,64.0,%
395,2015-6-17,11,22.5,'C,58.5,%
396,2015-6-17,12,22.0,'C,60.0,%
397,2015-6-17,13,23.0,'C,59.0,%
398,2015-6-17,14,25.0,'C,54.0,%
399,2015-6-17,15,25.5,'C,52.5,%
400,2015-6-17,16,25.0,'C,54.0,%
401,2015-6-17,17,23.5,'C,59.0,%
402,2015-6-17,18,23.0,'C,61.0,%
403,2015-6-17,19,22.5,'C,62.5,%
404,2015-6-17,20,22.0,'C,64.0,%
405,2015-6-17,21,21.0,'C,68.0,%
406,2015-6-17,22,20.0,'C,73.0,%
407,2015-6-17,23,20.0,'C,78.0,%
408,2015-6-18,0,19.0,'C,75.5,%
409,2015-6-18,1,19.0,'C,73.0,%
410,2015-6-18,2,18.0,'C,77.0,%
411,2015-6-18,3,17.5,'C,72.5,%
412,2015-6-18,4,16.0,'C,68.0,%
413,2015-6-18,5,15.5,'C,67.5,%
414,2015-6-18,6,15.0,'C,65.0,%
415,2015-6-18,7,15.0,'C,63.0,%
416,2015-6-18,8,15.0,'C,61.0,%
417,2015-6-18,9,15.5,'C,57.0,%
418,2015-6-18,10,16.0,'C,52.0,%
419,2015-6-18,11,17.5,'C,48.5,%
420,2015-6-18,12,18.5,'C,47.5,%
421,2015-6-18,13,20.0,'C,43.0,%
422,2015-6-18,14,20.0,'C,46.0,%
423,2015-6-18,15,20.0,'C,44.5,%
424,2015-6-18,16,20.0,'C,46.0,%
425,2015-6-18,17,20.5,'C,44.5,%
426,2015-6-18,18,20.0,'C,46.0,%
427,2015-6-18,19,19.5,'C,47.5,%
428,2015-6-18,20,19.0,'C,50.5,%
429,2015-6-18,21,17.5,'C,55.5,%
430,2015-6-18,22,16.5,'C,55.0,%
431,2015-6-18,23,16.0,'C,55.0,%
432,2015-6-19,0,15.0,'C,59.0,%
433,2015-6-19,1,14.0,'C,63.0,%
434,2015-6-19,2,14.0,'C,63.0,%
435,2015-6-19,3,14.0,'C,65.0,%
